,train,val,test
0,6165_,6195_,6243_
1,6169_,6257_,6167_
2,6170_,6967_,
3,6181_,6977_,
4,6184_,6213_,
5,6189_,6239_,
6,6190_,6957_,
7,6194_,6791_,
8,6196_,6964_,
9,6197_,6664_,
10,6199_,6793_,
11,6204_,6813_,
12,6205_,6182_,
13,6206_,6673_,
14,6215_,6799_,
15,6218_,6666_,
16,6220_,,
17,6226_,,
18,6227_,,
19,6228_,,
20,6230_,,
21,6232_,,
22,6233_,,
23,6234_,,
24,6236_,,
25,6238_,,
26,6240_,,
27,6241_,,
28,6242_,,
29,6245_,,
30,6246_,,
31,6250_,,
32,6251_,,
33,6256_,,
34,6258_,,
35,6260_,,
36,6662_,,
37,6663_,,
38,6667_,,
39,6668_,,
40,6671_,,
41,6674_,,
42,6795_,,
43,6800_,,
44,6945_,,
45,6951_,,
46,6958_,,
47,6959_,,
48,6960_,,
49,6969_,,
50,6974_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6164_,,
56,6172_,,
57,6173_,,
58,6174_,,
59,6175_,,
60,6177_,,
61,6178_,,
62,6180_,,
63,6183_,,
64,6185_,,
65,6186_,,
66,6187_,,
67,6188_,,
68,6191_,,
69,6193_,,
70,6198_,,
71,6200_,,
72,6201_,,
73,6202_,,
74,6203_,,
75,6207_,,
76,6208_,,
77,6209_,,
78,6210_,,
79,6211_,,
80,6212_,,
81,6216_,,
82,6217_,,
83,6221_,,
84,6222_,,
85,6224_,,
86,6229_,,
87,6235_,,
88,6237_,,
89,6244_,,
90,6247_,,
91,6248_,,
92,6249_,,
93,6252_,,
94,6253_,,
95,6254_,,
96,6255_,,
97,6263_,,
98,6669_,,
99,6670_,,
100,6672_,,
101,6675_,,
102,6792_,,
103,6794_,,
104,6796_,,
105,6805_,,
106,6806_,,
107,6808_,,
108,6810_,,
109,6811_,,
110,6812_,,
111,6946_,,
112,6947_,,
113,6948_,,
114,6949_,,
115,6950_,,
116,6952_,,
117,6954_,,
118,6955_,,
119,6961_,,
120,6965_,,
121,6966_,,
122,6968_,,
123,6970_,,
124,6971_,,
125,6972_,,
126,6975_,,
127,6981_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6176_,,
136,6179_,,
137,6219_,,
138,6231_,,
139,6798_,,
140,6801_,,
141,6802_,,
142,6803_,,
143,6804_,,
144,6956_,,
145,6973_,,
146,6985_,,
