,train,val,test
6165_,True,False,False
6169_,True,False,False
6170_,True,False,False
6181_,True,False,False
6189_,True,False,False
6190_,True,False,False
6196_,True,False,False
6197_,True,False,False
6205_,True,False,False
6206_,True,False,False
6213_,True,False,False
6218_,True,False,False
6220_,True,False,False
6228_,True,False,False
6230_,True,False,False
6232_,True,False,False
6233_,True,False,False
6239_,True,False,False
6240_,True,False,False
6242_,True,False,False
6243_,True,False,False
6245_,True,False,False
6246_,True,False,False
6258_,True,False,False
6260_,True,False,False
6663_,True,False,False
6668_,True,False,False
6671_,True,False,False
6795_,True,False,False
6800_,True,False,False
6958_,True,False,False
6959_,True,False,False
6960_,True,False,False
6967_,True,False,False
6969_,True,False,False
6977_,True,False,False
6980_,True,False,False
6986_,True,False,False
6164_,True,False,False
6173_,True,False,False
6177_,True,False,False
6180_,True,False,False
6182_,True,False,False
6183_,True,False,False
6185_,True,False,False
6187_,True,False,False
6198_,True,False,False
6201_,True,False,False
6207_,True,False,False
6208_,True,False,False
6209_,True,False,False
6210_,True,False,False
6216_,True,False,False
6222_,True,False,False
6229_,True,False,False
6249_,True,False,False
6253_,True,False,False
6254_,True,False,False
6255_,True,False,False
6263_,True,False,False
6670_,True,False,False
6675_,True,False,False
6791_,True,False,False
6792_,True,False,False
6793_,True,False,False
6794_,True,False,False
6796_,True,False,False
6806_,True,False,False
6808_,True,False,False
6811_,True,False,False
6812_,True,False,False
6813_,True,False,False
6948_,True,False,False
6949_,True,False,False
6950_,True,False,False
6952_,True,False,False
6957_,True,False,False
6961_,True,False,False
6964_,True,False,False
6965_,True,False,False
6966_,True,False,False
6968_,True,False,False
6970_,True,False,False
6971_,True,False,False
6972_,True,False,False
6975_,True,False,False
6981_,True,False,False
6983_,True,False,False
6987_,True,False,False
6160_,True,False,False
6163_,True,False,False
6176_,True,False,False
6219_,True,False,False
6666_,True,False,False
6801_,True,False,False
6803_,True,False,False
6956_,True,False,False
6973_,True,False,False
6985_,True,False,False
6195_,False,True,False
6257_,False,True,False
6251_,False,True,False
6974_,False,True,False
6674_,False,True,False
6234_,False,True,False
6184_,False,True,False
6241_,False,True,False
6256_,False,True,False
6951_,False,True,False
6204_,False,True,False
6662_,False,True,False
6193_,False,True,False
6174_,False,True,False
6252_,False,True,False
6212_,False,True,False
6247_,False,True,False
6664_,False,True,False
6172_,False,True,False
6244_,False,True,False
6672_,False,True,False
6211_,False,True,False
6982_,False,True,False
6221_,False,True,False
6954_,False,True,False
6224_,False,True,False
6669_,False,True,False
6200_,False,True,False
6203_,False,True,False
6179_,False,True,False
6802_,False,True,False
6804_,False,True,False
6161_,False,True,False
6215_,False,False,True
6667_,False,False,True
6945_,False,False,True
6226_,False,False,True
6199_,False,False,True
6227_,False,False,True
6979_,False,False,True
6194_,False,False,True
6250_,False,False,True
6236_,False,False,True
6238_,False,False,True
6984_,False,False,True
6673_,False,False,True
6178_,False,False,True
6805_,False,False,True
6235_,False,False,True
6946_,False,False,True
6175_,False,False,True
6167_,False,False,True
6955_,False,False,True
6191_,False,False,True
6186_,False,False,True
6217_,False,False,True
6947_,False,False,True
6810_,False,False,True
6248_,False,False,True
6202_,False,False,True
6237_,False,False,True
6188_,False,False,True
6798_,False,False,True
6799_,False,False,True
6231_,False,False,True
6162_,False,False,True
